Iteration,wt,bias,mse_loss
700,1.3579173,11.642273,15.926082
701,1.3546002,11.654553,15.909903
702,1.351285,11.666827,15.893747
703,1.3479716,11.679094,15.8776045
704,1.3446599,11.691354,15.861482
705,1.3413503,11.703607,15.845378
706,1.3380425,11.715853,15.829291
707,1.3347366,11.728092,15.813226
708,1.3314325,11.740325,15.797172
709,1.3281301,11.75255,15.78114
710,1.3248297,11.764769,15.765127
711,1.3215312,11.77698,15.749132
712,1.3182344,11.789186,15.733152
713,1.3149396,11.801384,15.717192
714,1.3116466,11.813576,15.701246
715,1.3083553,11.82576,15.685325
716,1.305066,11.837937,15.669416
717,1.3017784,11.850108,15.653527
718,1.2984928,11.862272,15.637652
719,1.2952089,11.87443,15.6218
720,1.291927,11.88658,15.605964
721,1.2886468,11.898725,15.590142
722,1.2853684,11.910861,15.574346
723,1.282092,11.922991,15.558562
724,1.2788173,11.935114,15.542796
725,1.2755445,11.94723,15.527048
726,1.2722735,11.95934,15.51132
727,1.2690045,11.971443,15.495605
728,1.2657372,11.98354,15.479913
729,1.2624717,11.995629,15.464233
730,1.259208,12.007712,15.448573
731,1.255946,12.019788,15.432931
732,1.252686,12.031857,15.417308
733,1.2494278,12.043919,15.4017
734,1.2461715,12.055974,15.38611
735,1.242917,12.068023,15.370539
736,1.2396643,12.080065,15.354983
737,1.2364135,12.0921,15.339446
738,1.2331644,12.104129,15.323927
739,1.2299172,12.116151,15.308424
740,1.2266717,12.128166,15.292937
741,1.2234281,12.140175,15.277468
742,1.2201864,12.152177,15.262019
743,1.2169462,12.164172,15.246587
744,1.2137079,12.176161,15.231166
745,1.2104715,12.188143,15.215768
746,1.2072369,12.200118,15.200385
747,1.204004,12.212087,15.185018
748,1.200773,12.224049,15.169672
749,1.1975437,12.236004,15.154342
750,1.1943164,12.247952,15.1390295
751,1.1910908,12.259894,15.1237335
752,1.1878669,12.271829,15.108453
753,1.1846449,12.283756,15.09319
754,1.1814249,12.295678,15.077945
755,1.1782066,12.307593,15.0627165
756,1.1749899,12.319502,15.047507
757,1.1717751,12.331404,15.032313
758,1.168562,12.343299,15.017135
759,1.1653509,12.355187,15.001975
760,1.1621414,12.367069,14.986832
761,1.1589339,12.378944,14.971705
762,1.155728,12.390813,14.956596
763,1.152524,12.402675,14.941505
764,1.1493218,12.41453,14.926429
765,1.1461214,12.426378,14.911371
766,1.1429228,12.43822,14.89633
